institution_id,display_name,category,aliases,note
coop_nonghyup,농협,상호금융,,지역조합/중앙회 여부 미확인 — 원문 유지. NH농협은행과 다른 조직
coop_suhyup,수협,상호금융,,지구별 수협·중앙회. Sh수협은행과 다른 조직이라 수협은행 별칭은 제외
coop_sinhyup,신협,상호금융,신용협동조합,
coop_saemaul,새마을금고,상호금융,새마을금고|MG새마을금고,
bank_post,우체국예금,은행,우체국예금|우체국금융|우체국보험,"별칭 ""우체국""은 우체국택배·지역 우체국 등 금융과 무관한 거래처까지 통합되어 제외했다"
law_kimchang,김앤장법률사무소,법률,김앤장법률사무소|김앤장,
law_taepyungyang,법무법인 태평양,법률,법무법인 태평양|태평양법무법인,
law_gwangjang,법무법인 광장,법률,법무법인 광장,
law_sejong,법무법인 세종,법률,법무법인 세종,
law_yulchon,법무법인 율촌,법률,법무법인 율촌,
law_hwawoo,법무법인 화우,법률,법무법인 화우,
law_jipyong,법무법인 지평,법률,법무법인 지평,
bank_kookmin,KB국민은행,은행,KB국민은행|국민은행|케이비국민은행,
bank_shinhan,신한은행,은행,신한은행|조흥은행,2006년 조흥은행을 합병
bank_hana,하나은행,은행,하나은행|KEB하나은행|외환은행|한국외환은행,2015년 외환은행과 통합 후 2019년 하나은행으로 사명변경
bank_woori,우리은행,은행,우리은행|한빛은행,2002년 한빛은행에서 사명변경
bank_sc,SC제일은행,은행,SC제일은행|한국스탠다드차타드은행|스탠다드차타드은행|제일은행,법인 등기상호는 한국스탠다드차타드은행
bank_citi,한국씨티은행,은행,한국씨티은행|씨티은행|한미은행,2004년 한미은행과 통합
bank_im,iM뱅크,은행,iM뱅크|아이엠뱅크|대구은행|DGB대구은행,2024년 5월 대구은행에서 사명변경
bank_busan,부산은행,은행,부산은행|BNK부산은행,
bank_kyongnam,경남은행,은행,경남은행|BNK경남은행,
bank_gwangju,광주은행,은행,광주은행|JB광주은행,
bank_jeonbuk,전북은행,은행,전북은행|JB전북은행,
bank_jeju,제주은행,은행,제주은행|신한제주은행,
bank_kakao,카카오뱅크,은행,카카오뱅크|한국카카오은행,인터넷전문은행
bank_kbank,케이뱅크,은행,케이뱅크|케이뱅크은행,인터넷전문은행
bank_toss,토스뱅크,은행,토스뱅크|토스뱅크은행,인터넷전문은행
bank_kdb,KDB산업은행,은행,KDB산업은행|한국산업은행|산업은행,
bank_ibk,IBK기업은행,은행,IBK기업은행|중소기업은행|기업은행,
bank_koreaexim,한국수출입은행,은행,한국수출입은행|수출입은행,
bank_nonghyup,NH농협은행,은행,NH농협은행|농협은행|엔에이치농협은행,농협중앙회 및 지역 단위농협과 다른 법인
bank_suhyup,Sh수협은행,은행,Sh수협은행|수협은행,수협중앙회 및 지구별수협과 다른 법인
bank_jpmorgan,JP모간체이스은행,은행,JP모간체이스은행|JP모건체이스은행,외국은행 국내지점 — 명단 단일출처
bank_mufg,미쓰비시UFJ은행,은행,미쓰비시UFJ은행|MUFG은행|미쓰비시도쿄UFJ은행,외국은행 국내지점 — 명단 단일출처
