institution_id,display_name,aliases,category,online,source_note,kftc_name,service_since
bank_hsbc,HSBC은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,HSBC,2019-09-23
bank_hana,하나은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,KEB하나은행,2014-12-01
bank_sc,SC제일은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,SC제일은행,2015-06-15
bank_kyongnam,경남은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,경남은행,2013-12-02
bank_gwangju,광주은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,광주은행,2013-10-31
bank_kookmin,KB국민은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,국민은행,2013-12-18
bank_ibk,IBK기업은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,기업은행,2013-12-16
bank_nonghyup,NH농협은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,농협은행,2013-11-11
bank_mizuho,미즈호은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,미즈호은행,2025-03-10
bank_busan,부산은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,부산은행,2013-11-20
bank_kdb,KDB산업은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,산업은행,2015-12-01
bank_suhyup,Sh수협은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,수협은행,2013-12-02
bank_shinhan,신한은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,신한은행,2013-12-02
bank_citi,한국씨티은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,씨티은행,2013-12-27
bank_im,iM뱅크,,은행,Y,금융결제원 온라인발급가능금융기관 표,아이엠뱅크(구 대구은행),2013-12-02
bank_woori,우리은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,우리은행,2014-01-03
bank_jeonbuk,전북은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,전북은행,2014-06-01
bank_jpmorgan,JP모간체이스은행,,은행,Y,금융결제원 온라인발급가능금융기관 표,제이피모간체이스은행,2024-11-06
