institution_id,display_name,category,aliases,note
bank_kookmin,KB국민은행,은행,KB국민은행|국민은행|케이비국민은행,
bank_shinhan,신한은행,은행,신한은행|조흥은행,2006년 조흥은행을 합병
bank_hana,하나은행,은행,하나은행|KEB하나은행|외환은행|한국외환은행,2015년 외환은행과 통합 후 2019년 하나은행으로 사명변경
bank_woori,우리은행,은행,우리은행|한빛은행,2002년 한빛은행에서 사명변경
bank_sc,SC제일은행,은행,SC제일은행|한국스탠다드차타드은행|스탠다드차타드은행|제일은행,법인 등기상호는 한국스탠다드차타드은행
bank_citi,한국씨티은행,은행,한국씨티은행|씨티은행|한미은행,2004년 한미은행과 통합
bank_im,iM뱅크,은행,iM뱅크|아이엠뱅크|대구은행|DGB대구은행,2024년 5월 대구은행에서 사명변경
bank_busan,부산은행,은행,부산은행|BNK부산은행,
bank_kyongnam,경남은행,은행,경남은행|BNK경남은행,
bank_gwangju,광주은행,은행,광주은행|JB광주은행,
bank_jeonbuk,전북은행,은행,전북은행|JB전북은행,
bank_jeju,제주은행,은행,제주은행|신한제주은행,
bank_kakao,카카오뱅크,은행,카카오뱅크|한국카카오은행,인터넷전문은행
bank_kbank,케이뱅크,은행,케이뱅크|케이뱅크은행,인터넷전문은행
bank_toss,토스뱅크,은행,토스뱅크|토스뱅크은행,인터넷전문은행
bank_kdb,KDB산업은행,은행,KDB산업은행|한국산업은행|산업은행,
bank_ibk,IBK기업은행,은행,IBK기업은행|중소기업은행|기업은행,
bank_koreaexim,한국수출입은행,은행,한국수출입은행|수출입은행,
bank_nonghyup,NH농협은행,은행,NH농협은행|농협은행|엔에이치농협은행,농협중앙회 및 지역 단위농협과 다른 법인
bank_suhyup,Sh수협은행,은행,Sh수협은행|수협은행,수협중앙회 및 지구별수협과 다른 법인
bank_jpmorgan,JP모간체이스은행,은행,JP모간체이스은행|JP모건체이스은행,외국은행 국내지점 — 명단 단일출처
bank_mufg,미쓰비시UFJ은행,은행,미쓰비시UFJ은행|MUFG은행|미쓰비시도쿄UFJ은행,외국은행 국내지점 — 명단 단일출처
bank_bofa,뱅크오브아메리카,은행,뱅크오브아메리카,외국은행 국내지점 — 명단 단일출처
bank_mizuho,미즈호은행,은행,미즈호은행|미즈호코퍼레이트은행,외국은행 국내지점 — 명단 단일출처
bank_creditagricole,크레디아그리콜은행,은행,크레디아그리콜은행,외국은행 국내지점 — 명단 단일출처
bank_bnpparibas,BNP파리바은행,은행,BNP파리바은행|비엔피파리바은행,외국은행 국내지점 — 명단 단일출처
bank_ing,ING은행,은행,ING은행|아이엔지은행,외국은행 국내지점 — 명단 단일출처
bank_anz,호주뉴질랜드은행,은행,호주뉴질랜드은행|ANZ은행,외국은행 국내지점 — 명단 단일출처
bank_deutsche,도이치은행,은행,도이치은행|도이체방크,외국은행 국내지점 — 명단 단일출처
bank_ubaf,유바프은행,은행,유바프은행,외국은행 국내지점 — 명단 단일출처
bank_dbs,DBS은행,은행,DBS은행|디비에스은행,외국은행 국내지점 — 명단 단일출처
bank_smbc,미쓰이스미토모은행,은행,미쓰이스미토모은행|SMBC은행,외국은행 국내지점 — 명단 단일출처
bank_socgen,소시에테제네랄은행,은행,소시에테제네랄은행|소시에떼제네랄은행,외국은행 국내지점 — 명단 단일출처
bank_uob,대화은행,은행,대화은행|UOB은행,외국은행 국내지점 싱가포르 UOB — 상호 미검증
bank_yamaguchi,야마구찌은행,은행,야마구찌은행|야마구치은행,외국은행 국내지점 — 명단 단일출처
bank_nbp,파키스탄국립은행,은행,파키스탄국립은행,외국은행 국내지점 — 명단 단일출처
bank_bnymellon,뉴욕멜론은행,은행,뉴욕멜론은행|BNY멜론은행,외국은행 국내지점 — 명단 단일출처
bank_hsbc,HSBC은행,은행,HSBC은행|홍콩상하이은행|에이치에스비씨은행,외국은행 국내지점 — 명단 단일출처
bank_bankofchina,중국은행,은행,중국은행|뱅크오브차이나,외국은행 국내지점 — 명단 단일출처
bank_metro,메트로은행,은행,메트로은행|메트로폴리탄은행,외국은행 국내지점 — 명단 단일출처
bank_icbc,중국공상은행,은행,중국공상은행|ICBC은행,외국은행 국내지점 — 명단 단일출처
bank_mellat,멜라트은행,은행,멜라트은행,외국은행 국내지점 — 명단 단일출처
bank_statestreet,스테이트스트리트은행,은행,스테이트스트리트은행,외국은행 국내지점 — 명단 단일출처
bank_ccb,중국건설은행,은행,중국건설은행,외국은행 국내지점 — 명단 단일출처
bank_wellsfargo,웰스파고은행,은행,웰스파고은행,외국은행 국내지점 — 명단 단일출처
bank_ocbc,오버시차이니스은행,은행,오버시차이니스은행|OCBC은행,외국은행 국내지점 — 명단 단일출처
bank_bocom,중국교통은행,은행,중국교통은행,외국은행 국내지점 — 명단 단일출처
bank_morganstanley,모간스탠리은행,은행,모간스탠리은행|모건스탠리은행,외국은행 국내지점 — 명단 단일출처
bank_lbbw,바덴뷔르템베르크주립은행,은행,바덴뷔르템베르크주립은행,외국은행 국내지점 — 명단 단일출처
bank_abchina,중국농업은행,은행,중국농업은행,외국은행 국내지점 — 명단 단일출처
bank_sbindia,스테이트뱅크오브인디아,은행,스테이트뱅크오브인디아|인도국립은행,외국은행 국내지점 SBI저축은행과 무관
bank_ceb,중국광대은행,은행,중국광대은행,외국은행 국내지점 — 명단 단일출처
bank_bni,인도네시아느가라은행,은행,인도네시아느가라은행,외국은행 국내지점 — 명단 단일출처
bank_northerntrust,노던트러스트컴퍼니,은행,노던트러스트컴퍼니|노던트러스트은행,외국은행 국내지점 — 명단 단일출처
sb_sbi,SBI저축은행,저축은행,SBI저축은행|에스비아이저축은행,
sb_ok,OK저축은행,저축은행,OK저축은행|오케이저축은행,
sb_koreainvestment,한국투자저축은행,저축은행,한국투자저축은행,
sb_welcome,웰컴저축은행,저축은행,웰컴저축은행,
sb_acuon,애큐온저축은행,저축은행,애큐온저축은행|HK저축은행,2017년 HK저축은행에서 사명변경
sb_daol,다올저축은행,저축은행,다올저축은행|유진저축은행,2022년 유진저축은행에서 사명변경
sb_shinhan,신한저축은행,저축은행,신한저축은행,
sb_db,DB저축은행,저축은행,DB저축은행|동부저축은행,
sb_hana,하나저축은행,저축은행,하나저축은행,
sb_jtchinae,JT친애저축은행,저축은행,JT친애저축은행|친애저축은행,2015년 친애저축은행에서 사명변경
sb_yegaram,예가람저축은행,저축은행,예가람저축은행,
sb_daishin,대신저축은행,저축은행,대신저축은행,
sb_pepper,페퍼저축은행,저축은행,페퍼저축은행,
sb_kb,KB저축은행,저축은행,KB저축은행,
sb_woorifg,우리금융저축은행,저축은행,우리금융저축은행|아주저축은행,2021년 아주저축은행에서 사명변경
sb_moa,모아저축은행,저축은행,모아저축은행,
sb_goryeo,고려저축은행,저축은행,고려저축은행,
sb_sangsangin,상상인저축은행,저축은행,상상인저축은행|공평저축은행,2018년 공평저축은행에서 사명변경
sb_jt,JT저축은행,저축은행,JT저축은행,
sb_baro,바로저축은행,저축은행,바로저축은행,
sb_osb,OSB저축은행,저축은행,OSB저축은행,
sb_nh,NH저축은행,저축은행,NH저축은행,
sb_bnk,BNK저축은행,저축은행,BNK저축은행,
sb_kiwoom,키움저축은행,저축은행,키움저축은행,
sb_kiwoomyes,키움예스저축은행,저축은행,키움예스저축은행,
sb_ibk,IBK저축은행,저축은행,IBK저축은행,
sb_purun,푸른저축은행,저축은행,푸른저축은행,
sb_hb,HB저축은행,저축은행,HB저축은행,
sb_hanwha,한화저축은행,저축은행,한화저축은행,
sb_sangsanginplus,상상인플러스저축은행,저축은행,상상인플러스저축은행|세종저축은행,2018년 세종저축은행에서 사명변경
sb_smart,스마트저축은행,저축은행,스마트저축은행,
sb_thek,더케이저축은행,저축은행,더케이저축은행,
sb_cham,참저축은행,저축은행,참저축은행,
sb_seram,세람저축은행,저축은행,세람저축은행,
sb_yuanta,유안타저축은행,저축은행,유안타저축은행,
sb_jinju,진주저축은행,저축은행,진주저축은행,
sb_joeun,조은저축은행,저축은행,조은저축은행,
sb_geumhwa,금화저축은행,저축은행,금화저축은행,
sb_dongwonjeil,동원제일저축은행,저축은행,동원제일저축은행,
sb_namyang,남양저축은행,저축은행,남양저축은행,
sb_heungkuk,흥국저축은행,저축은행,흥국저축은행,
sb_anyang,안양저축은행,저축은행,안양저축은행,
sb_inseong,인성저축은행,저축은행,인성저축은행,
sb_incheon,인천저축은행,저축은행,인천저축은행,
sb_daehan,대한저축은행,저축은행,대한저축은행,
sb_sky,스카이저축은행,저축은행,스카이저축은행,
sb_double,더블저축은행,저축은행,더블저축은행,
sb_yungchang,융창저축은행,저축은행,융창저축은행,
sb_o2,오투저축은행,저축은행,오투저축은행,
sb_cheongju,청주저축은행,저축은행,청주저축은행,
sb_burim,부림저축은행,저축은행,부림저축은행,
sb_samjung,삼정저축은행,저축은행,삼정저축은행,
sb_ck,CK저축은행,저축은행,CK저축은행,
sb_ms,MS저축은행,저축은행,MS저축은행,
sb_dongyang,동양저축은행,저축은행,동양저축은행,
sb_minguk,민국저축은행,저축은행,민국저축은행,
sb_hanseong,한성저축은행,저축은행,한성저축은행,
sb_woori,우리저축은행,저축은행,우리저축은행,우리금융저축은행과 다른 별개 법인
sb_mustsamil,머스트삼일저축은행,저축은행,머스트삼일저축은행,
sb_union,유니온저축은행,저축은행,유니온저축은행,
sb_dream,드림저축은행,저축은행,드림저축은행,
sb_joheung,조흥저축은행,저축은행,조흥저축은행,신한은행에 합병된 조흥은행과 무관
sb_anguk,안국저축은행,저축은행,안국저축은행,
sb_dh,DH저축은행,저축은행,DH저축은행,
sb_samho,삼호저축은행,저축은행,삼호저축은행,
sb_daebaek,대백저축은행,저축은행,대백저축은행,
sb_youngjin,영진저축은행,저축은행,영진저축은행,
sb_asan,아산저축은행,저축은행,아산저축은행,
sb_kukje,국제저축은행,저축은행,국제저축은행,
sb_daemyung,대명저축은행,저축은행,대명저축은행,
sb_solbrain,솔브레인저축은행,저축은행,솔브레인저축은행,
sb_pyeongtaek,평택저축은행,저축은행,평택저축은행,
sb_snt,SNT저축은행,저축은행,SNT저축은행,
sb_star,스타저축은행,저축은행,스타저축은행,
sb_raon,라온저축은행,저축은행,라온저축은행,
sb_central,센트럴저축은행,저축은행,센트럴저축은행,
sb_oseong,오성저축은행,저축은행,오성저축은행,
sb_daea,대아저축은행,저축은행,대아저축은행,
sb_daewon,대원저축은행,저축은행,대원저축은행,
