institution_id,display_name,category,aliases,note
ins_samsung_life,삼성생명보험,보험,삼성생명보험|삼성생명,
ins_hanwha_life,한화생명보험,보험,한화생명보험|한화생명|대한생명보험|대한생명,대한생명은 2012년 한화생명으로 상호변경
ins_kyobo_life,교보생명보험,보험,교보생명보험|교보생명,
ins_shinhan_life,신한라이프생명보험,보험,신한라이프생명보험|신한라이프|신한생명보험|신한생명|오렌지라이프생명보험|오렌지라이프,2021년 신한생명과 오렌지라이프 합병으로 출범
ins_nh_life,NH농협생명보험,보험,NH농협생명보험|농협생명보험|NH농협생명|농협생명,
ins_miraeasset_life,미래에셋생명보험,보험,미래에셋생명보험|미래에셋생명,
ins_dongyang_life,동양생명보험,보험,동양생명보험|동양생명,2026년 하반기 ABL생명과 통합 예정
ins_abl_life,ABL생명보험,보험,ABL생명보험|ABL생명|알리안츠생명보험|알리안츠생명,알리안츠생명이 2017년 ABL생명으로 상호변경
ins_kb_life,KB라이프생명보험,보험,KB라이프생명보험|KB라이프생명|KB라이프|KB생명보험|푸르덴셜생명보험|푸르덴셜생명,2023년 KB생명과 푸르덴셜생명 합병
ins_heungkuk_life,흥국생명보험,보험,흥국생명보험|흥국생명,
ins_db_life,DB생명보험,보험,DB생명보험|DB생명|동부생명보험|동부생명,동부생명은 2017년 DB생명으로 상호변경
ins_hana_life,하나생명보험,보험,하나생명보험|하나생명,
ins_kdb_life,KDB생명보험,보험,KDB생명보험|KDB생명|금호생명보험|금호생명,
ins_im_life,iM라이프생명보험,보험,iM라이프생명보험|iM라이프생명|iM라이프|DGB생명보험|DGB생명,DGB생명이 2024년 iM라이프로 상호변경
ins_fubon_hyundai_life,푸본현대생명보험,보험,푸본현대생명보험|푸본현대생명|현대라이프생명보험|현대라이프생명,현대라이프생명이 2018년 푸본현대생명으로 상호변경
ins_metlife,메트라이프생명보험,보험,메트라이프생명보험|메트라이프생명,
ins_aia_life,AIA생명보험,보험,AIA생명보험|AIA생명,
ins_lina_life,라이나생명보험,보험,라이나생명보험|라이나생명,
ins_chubb_life,처브라이프생명보험,보험,처브라이프생명보험|처브라이프생명|에이스생명보험,에이스생명이 2017년 처브라이프생명으로 상호변경
ins_bnp_cardif_life,BNP파리바카디프생명보험,보험,BNP파리바카디프생명보험|카디프생명보험|카디프생명,
ins_ibk_pension,IBK연금보험,보험,IBK연금보험,
ins_kyobo_lifeplanet,교보라이프플래닛생명보험,보험,교보라이프플래닛생명보험|교보라이프플래닛,
ins_samsung_fire,삼성화재해상보험,보험,삼성화재해상보험|삼성화재,
ins_hyundai_marine,현대해상화재보험,보험,현대해상화재보험|현대해상,
ins_db_insurance,DB손해보험,보험,DB손해보험|동부화재해상보험|동부화재,동부화재는 2017년 DB손해보험으로 상호변경
ins_kb_insurance,KB손해보험,보험,KB손해보험|LIG손해보험,LIG손해보험이 2015년 KB손해보험으로 상호변경
ins_meritz_fire,메리츠화재해상보험,보험,메리츠화재해상보험|메리츠화재,
ins_hanwha_insurance,한화손해보험,보험,한화손해보험|한화손보|캐롯손해보험|캐롯손보,캐롯손해보험을 2025년 10월 흡수합병
ins_lotte_insurance,롯데손해보험,보험,롯데손해보험|롯데손보,
ins_heungkuk_fire,흥국화재해상보험,보험,흥국화재해상보험|흥국화재,
ins_nh_insurance,NH농협손해보험,보험,NH농협손해보험|농협손해보험|NH농협손보|농협손보,
ins_hana_insurance,하나손해보험,보험,하나손해보험|하나손보|더케이손해보험|더케이손보,더케이손해보험이 2020년 하나손해보험으로 상호변경
ins_shinhan_ez,신한EZ손해보험,보험,신한EZ손해보험|신한EZ손보|BNP파리바카디프손해보험|카디프손해보험,2022년 신한금융지주 인수 후 상호변경
ins_kakaopay_insurance,카카오페이손해보험,보험,카카오페이손해보험|카카오페이손보,
ins_axa_general,AXA손해보험,보험,AXA손해보험|악사손해보험|교보악사자동차보험,
ins_aig_general,AIG손해보험,보험,AIG손해보험,
ins_ace_american,에이스아메리칸화재해상보험,보험,에이스아메리칸화재해상보험|에이스아메리칸,손해보험협회 준회원 한국지점
ins_yebyeol,예별손해보험,보험,예별손해보험|예별손보|MG손해보험|MG손보,MG손해보험 계약을 2025년 9월 이전받은 가교보험사
