institution_id,display_name,category,aliases,note
sec_db,DB증권,증권,디비증권|동부증권,2017년 동부증권에서 사명변경
sec_ds,DS투자증권,증권,디에스투자증권|토러스투자증권,2018년 토러스투자증권에서 사명변경
sec_kb,KB증권,증권,케이비증권|현대증권|KB투자증권,2017년 현대증권과 KB투자증권 합병
sec_nh,NH투자증권,증권,엔에이치투자증권|NH농협증권,구 우리투자증권 별칭은 신설 우리투자증권과 충돌하므로 제외
sec_goldman,골드만삭스증권 서울지점,증권,골드만삭스증권,
sec_kyobo,교보증권,증권,,
sec_natixis,나틱시스증권 서울지점,증권,나틱시스증권,
sec_next,넥스트증권,증권,SI증권|브이아이금융투자|VI금융투자|하이투자선물|현대선물,2024년 12월 SI증권에서 사명변경
sec_nomura,노무라금융투자,증권,노무라증권,
sec_daol,다올투자증권,증권,KTB투자증권|케이티비투자증권,2022년 KTB투자증권에서 사명변경
sec_daiwa,다이와증권캐피탈마켓코리아,증권,다이와증권,
sec_daishin,대신증권,증권,,
sec_deutsche,도이치증권,증권,도이치뱅크증권,
sec_leading,리딩투자증권,증권,,
sec_macquarie,맥쿼리증권,증권,,
sec_meritz,메리츠증권,증권,메리츠종금증권|메리츠종합금융증권,2020년 메리츠종금증권에서 사명변경
sec_merrill,메릴린치인터내셔날엘엘씨증권 서울지점,증권,메릴린치증권,
sec_morganstanley,모간스탠리인터내셔날증권 서울지점,증권,모간스탠리증권|모건스탠리증권,
sec_mirae,미래에셋증권,증권,미래에셋대우|대우증권|KDB대우증권,2021년 미래에셋대우에서 사명변경
sec_mizuho,미즈호증권 아시아 서울지점,증권,미즈호증권,
sec_bukook,부국증권,증권,,
sec_bnk,비엔케이투자증권,증권,BNK투자증권|BS투자증권|비에스투자증권,2015년 BS투자증권에서 사명변경
sec_bnp,비엔피파리바증권,증권,BNP파리바증권,
sec_samsung,삼성증권,증권,,
sec_sangsangin,상상인증권,증권,골든브릿지투자증권,2019년 골든브릿지투자증권에서 사명변경
sec_shinyoung,신영증권,증권,,
sec_shinhan,신한투자증권,증권,신한금융투자|굿모닝신한증권,2022년 신한금융투자에서 사명변경
sec_clsa,씨엘에스에이코리아증권,증권,CLSA코리아증권,
sec_cmsk,씨엠에스증권 한국,증권,CMS증권,
sec_cgs,씨지에스 인터내셔널증권 홍콩 한국지점,증권,CGS인터내셔널증권,
sec_citi,씨티그룹글로벌마켓증권,증권,한국씨티그룹증권|씨티증권,
sec_ibk,아이비케이투자증권,증권,IBK투자증권,
sec_ing,아이엔지증권 서울지점,증권,ING증권,
sec_im,아이엠증권,증권,iM증권|IM증권|하이투자증권,2024년 하이투자증권에서 사명변경
sec_sk,에스케이증권,증권,SK증권,
sec_ls,엘에스증권,증권,LS증권|이베스트투자증권|eBEST투자증권,2024년 이베스트투자증권에서 사명변경
sec_woori,우리투자증권,증권,우리종합금융|한국포스증권,2024년 우리종합금융과 한국포스증권 합병으로 출범
sec_ubs,유비에스증권리미티드 서울지점,증권,UBS증권,
sec_yuanta,유안타증권,증권,동양증권,2014년 동양증권에서 사명변경
sec_eugene,유진투자증권,증권,서울증권,2008년 서울증권에서 사명변경
sec_yuhwa,유화증권,증권,,
sec_jpmorgan,제이피모간증권 서울지점,증권,JP모간증권|JP모건증권,
sec_kakaopay,카카오페이증권,증권,바로투자증권,2020년 바로투자증권에서 사명변경
sec_kidb,케이아이디비채권중개,증권,KIDB채권중개,채권중개전문회사
sec_kr,케이알투자증권,증권,KR투자증권,
sec_cape,케이프투자증권,증권,CAPE투자증권|LIG투자증권,2016년 LIG투자증권에서 사명변경
sec_koreaasset,코리아에셋투자증권,증권,,
sec_creditagricole,크레디 아그리콜 아시아 증권 서울지점,증권,크레디아그리콜증권,
sec_kiwoom,키움증권,증권,,
sec_toss,토스증권,증권,,
sec_hana,하나증권,증권,하나금융투자|하나대투증권,2022년 하나금융투자에서 사명변경
sec_sc,한국스탠다드차타드증권,증권,SC증권|스탠다드차타드증권,
sec_imc,한국아이엠씨증권,증권,IMC증권,
sec_sg,한국에스지증권,증권,SG증권|소시에테제네랄증권,
sec_koreainvestment,한국투자증권,증권,한투증권,
sec_hanyang,한양증권,증권,,
sec_hanwha,한화투자증권,증권,푸르덴셜투자증권,2012년 푸르덴셜투자증권 합병
sec_hyundaimotor,현대차증권,증권,HMC투자증권,2018년 HMC투자증권에서 사명변경
sec_hsbc,홍콩상하이증권 서울지점,증권,HSBC증권,
sec_heungkuk,흥국증권,증권,,
fut_samsung,삼성선물,선물,,
fut_nh,엔에이치선물,선물,NH선물,
fut_eugene,유진투자선물,선물,,
tr_kyobo,교보자산신탁,신탁,,
tr_daishin,대신자산신탁,신탁,,
tr_daehan,대한토지신탁,신탁,,
tr_mugunghwa,무궁화신탁,신탁,,
tr_shinyoung,신영부동산신탁,신탁,,
tr_shinhan,신한자산신탁,신탁,아시아신탁,별칭 미검증
tr_woori,우리자산신탁,신탁,국제자산신탁,별칭 미검증
tr_kb,케이비부동산신탁,신탁,KB부동산신탁,
tr_koramco,코람코자산신탁,신탁,,
tr_koreatrust,코리아신탁,신탁,,
tr_hana,하나자산신탁,신탁,다올부동산신탁,별칭 미검증
tr_kait,한국자산신탁,신탁,,
tr_koreit,한국토지신탁,신탁,,
tr_ki,한국투자부동산신탁,신탁,,
am_mirae,미래에셋자산운용,자산운용,,
am_samsung,삼성자산운용,자산운용,,
am_samsung_active,삼성액티브자산운용,자산운용,,
am_samsung_hedge,삼성헤지자산운용,자산운용,,
am_samsung_sra,삼성에스알에이자산운용,자산운용,삼성SRA자산운용,
am_kb,케이비자산운용,자산운용,KB자산운용,
am_hanwha,한화자산운용,자산운용,,
am_hanwha_inv,한화인베스트먼트,자산운용,,
am_shinhan,신한자산운용,자산운용,신한BNP파리바자산운용|신한비엔피파리바자산운용,2021년 사명변경
am_ki,한국투자신탁운용,자산운용,,
am_ki_value,한국투자밸류자산운용,자산운용,,
am_ki_realasset,한국투자리얼에셋운용,자산운용,,
am_kiwoom,키움투자자산운용,자산운용,,
am_nh_amundi,엔에이치아문디자산운용,자산운용,NH아문디자산운용|NH-CA자산운용,
am_nh_hedge,엔에이치헤지자산운용,자산운용,,
am_igis,이지스자산운용,자산운용,,
am_igis_real,이지스리얼에셋투자운용,자산운용,,
am_igis_x,이지스엑스자산운용,자산운용,,
am_hana,하나자산운용,자산운용,하나UBS자산운용|하나유비에스자산운용,2022년 사명변경
am_hana_alt,하나대체투자자산운용,자산운용,,
am_woori,우리자산운용,자산운용,ABL글로벌자산운용,별칭 미검증
am_woori_pe,우리프라이빗에퀴티자산운용,자산운용,우리PE자산운용,
am_db,디비자산운용,자산운용,DB자산운용|동부자산운용,
am_ibk,아이비케이자산운용,자산운용,IBK자산운용,
am_bnk,비엔케이자산운용,자산운용,BNK자산운용,
am_heungkuk,흥국자산운용,자산운용,,
am_shinyoung,신영자산운용,자산운용,,
am_eugene,유진자산운용,자산운용,,
am_daol,다올자산운용,자산운용,KTB자산운용,
am_daishin,대신자산운용,자산운용,,
am_kyobo_axa,교보악사자산운용,자산운용,교보AXA자산운용,
am_kyobo_aim,교보에이아이엠자산운용,자산운용,교보AIM자산운용,
am_midas,마이다스에셋자산운용,자산운용,,
am_assetplus,에셋플러스자산운용,자산운용,,
am_trustone,트러스톤자산운용,자산운용,,
am_timefolio,타임폴리오자산운용,자산운용,,
am_vi,브이아이자산운용,자산운용,VI자산운용|하이자산운용,
am_vip,브이아이피자산운용,자산운용,VIP자산운용,
am_brain,브레인자산운용,자산운용,,
am_kcgi,케이씨지아이자산운용,자산운용,KCGI자산운용|메리츠자산운용,2023년 메리츠자산운용에서 사명변경
am_kcgi_alt,케이씨지아이대체투자운용,자산운용,KCGI대체투자운용,
