institution_id,display_name,category,aliases,note
card_shinhan,신한카드,카드,신한카드|LG카드|신한할부금융,2007년 LG카드를 합병
card_samsung,삼성카드,카드,삼성카드,
card_kb,KB국민카드,카드,KB국민카드|국민카드|KB카드,2011년 국민은행 카드사업부문에서 분사
card_hyundai,현대카드,카드,현대카드,
card_lotte,롯데카드,카드,롯데카드,
card_hana,하나카드,카드,하나카드|하나SK카드|외환카드,2014년 하나SK카드와 외환카드 합병
card_woori,우리카드,카드,우리카드,2013년 우리은행 카드사업부문에서 분사
card_bc,비씨카드,카드,비씨카드|BC카드,
card_ibk_bc,기업비씨,카드,기업비씨|기업BC,IBK 비씨카드 추정 — 법인 확정 미확인. 원문 명칭 유지
card_nh,NH농협카드,카드,NH농협카드|농협카드,별도 법인이 아니라 NH농협은행 카드사업부문
cap_hyundai,현대캐피탈,여신전문,현대캐피탈,
cap_hyundai_commercial,현대커머셜,여신전문,현대커머셜,
cap_kb,KB캐피탈,여신전문,KB캐피탈,
cap_shinhan,신한캐피탈,여신전문,신한캐피탈,
cap_hana,하나캐피탈,여신전문,하나캐피탈,
cap_woori,우리금융캐피탈,여신전문,우리금융캐피탈|아주캐피탈,2021년 아주캐피탈에서 사명변경
cap_lotte,롯데캐피탈,여신전문,롯데캐피탈,
cap_lotte_autolease,롯데오토리스,여신전문,롯데오토리스,
cap_bnk,BNK캐피탈,여신전문,BNK캐피탈,
cap_jb,JB우리캐피탈,여신전문,JB우리캐피탈|전북우리캐피탈,
cap_kdb,산은캐피탈,여신전문,산은캐피탈|KDB캐피탈,
cap_nh,NH농협캐피탈,여신전문,NH농협캐피탈|농협캐피탈,
cap_im,아이엠캐피탈,여신전문,아이엠캐피탈|iM캐피탈|DGB캐피탈,2024년 6월 DGB캐피탈에서 사명변경
cap_mg,MG캐피탈,여신전문,MG캐피탈|M캐피탈|효성캐피탈,효성캐피탈에서 M캐피탈을 거쳐 2025년 MG캐피탈로 변경
cap_meritz,메리츠캐피탈,여신전문,메리츠캐피탈,
cap_acuon,애큐온캐피탈,여신전문,애큐온캐피탈,
cap_hankook,한국캐피탈,여신전문,한국캐피탈,
cap_koreainvest,한국투자캐피탈,여신전문,한국투자캐피탈,
cap_hankookasset,한국자산캐피탈,여신전문,한국자산캐피탈,
cap_db,DB캐피탈,여신전문,DB캐피탈,
cap_hb,HB캐피탈,여신전문,HB캐피탈,
cap_nbh,NBH캐피탈,여신전문,NBH캐피탈,
cap_ok,오케이캐피탈,여신전문,오케이캐피탈|OK캐피탈,
cap_mugunghwa,무궁화캐피탈,여신전문,무궁화캐피탈,
cap_murim,무림캐피탈,여신전문,무림캐피탈,
cap_mason,메이슨캐피탈,여신전문,메이슨캐피탈,
cap_mastern,마스턴캐피탈,여신전문,마스턴캐피탈,
cap_eco,에코캐피탈,여신전문,에코캐피탈,
cap_cosmo,코스모캐피탈,여신전문,코스모캐피탈,
cap_jm,제이엠캐피탈,여신전문,제이엠캐피탈|JM캐피탈,
cap_leadingace,리딩에이스캐피탈,여신전문,리딩에이스캐피탈,
cap_bluecorner,블루코너캐피탈,여신전문,블루코너캐피탈,
cap_kcar,케이카캐피탈,여신전문,케이카캐피탈,
cap_kgm,KGM캐피탈,여신전문,KGM캐피탈,
cap_a,A캐피탈,여신전문,A캐피탈,
cap_hancom,한컴밸류인베스트먼트,여신전문,한컴밸류인베스트먼트,리스·신기술 겸영
cap_pioneer,파이오니어인베스트먼트,여신전문,파이오니어인베스트먼트,
cap_orix,오릭스캐피탈코리아,여신전문,오릭스캐피탈코리아|오릭스캐피탈,
cap_coupang,쿠팡파이낸셜,여신전문,쿠팡파이낸셜,
cap_toyota,토요타파이낸셜,여신전문,토요타파이낸셜|토요타파이낸셜서비스코리아,
cap_bmw,BMW파이낸셜,여신전문,BMW파이낸셜|BMW파이낸셜서비스코리아,
