institution_id,display_name,category,aliases,note
am_guardian,가디언자산운용,자산운용,가디언자산운용|Guardian Asset Management|GuardianAssetManagement,"금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 일반사모집합투자업, 투자자문업"
am_galaxy,갤럭시자산운용,자산운용,갤럭시자산운용|Galaxy Asset Management|GalaxyAssetManagement,"금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 전문사모집합투자업, 투자자문업, 투자일임업; 파인 분류: 자산운용사/투자일임회사/투자자문회사"
am_kyungilasset,경일에셋자산운용,자산운용,경일에셋자산운용|Kyungilasset Investments|KyungilassetInvestments,금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 일반 사모집합투자업
am_goldenbridge,골든브릿지자산운용,자산운용,골든브릿지자산운용|Golden Bridge Asset Management|GoldenBridgeAssetManagement,금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융투자협회 회원사현황 등재; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 자산운용업
am_visionplus,골든스톤자산운용,자산운용,골든스톤자산운용|Vision Plus Asset Management|VisionPlusAssetManagement,금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융투자협회 회원사현황 등재; 허가등록업종: 일반사모집합투자업
am_kyobo_axa,교보악사자산운용,자산운용,교보악사자산운용|교보AXA자산운용|Kyobo AXA Investment Managers|KyoboAXAInvestmentManagers,"금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융투자협회 회원사현황 등재; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 자산운용업, 투자일임업, 투자자문업"
am_kyobo_aim,교보에이아이엠자산운용,자산운용,교보에이아이엠자산운용|교보AIM자산운용|Kyobo AIM Asset Management|KyoboAIMAssetManagement,금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융투자협회 회원사현황 등재; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 집합투자업
am_gudo,구도자산운용,자산운용,구도자산운용|GUDO Investment Management|GUDOInvestmentManagement,금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융투자협회 회원사현황 등재; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 전문사모집합투자업
am_kukje,국제자산운용,자산운용,국제자산운용|Kukje Asset Management|KukjeAssetManagement,금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융투자협회 회원사현황 등재; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 전문사모집합투자업
am_granicus,그라니쿠스자산운용,자산운용,그라니쿠스자산운용|Granicus Asset Management|GranicusAssetManagement,금감원 파인 제도권금융회사조회(https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038) 2026-09-18; 금융통계정보시스템 202603 기준 등재; 허가등록업종: 일반사모집합투자업
