institution_id,display_name,category,aliases,note
ntf_ace,에이스투자금융,신기술금융,에이스투자금융,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_aeksiseu_invest,액시스인베스트먼트,신기술금융,액시스인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_ajuib,아주아이비투자,신기술금융,아주IB투자|아주아이비투자,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_apekseu_invest,아펙스인베스트먼트,신기술금융,아펙스인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_areuke_invest,아르케인베스트먼트,신기술금융,아르케인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_atinum,에이티넘벤처스,신기술금융,에이티넘벤처스,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_baro_ventures,바로벤처스,신기술금융,바로벤처스,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_beuieseu_invest,브이에스인베스트먼트,신기술금융,브이에스인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_beulrukaeseuteu_invest,블루캐스트인베스트먼트,신기술금융,블루캐스트인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_beureibeunyu_invest,브레이브뉴인베스트먼트,신기술금융,브레이브뉴인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_beuritji_invest,브릿지인베스트먼트,신기술금융,브릿지인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
ntf_bilrangseu_invest,빌랑스인베스트먼트,신기술금융,빌랑스인베스트먼트,출처: 파인(신기술사업금융업자) https://fine.fss.or.kr/fine/fncco/systemFncCo/list.do?menuNo=900038&searchTyin=신기술사업금융업자 | 여신금융협회 신기술금융사 정회원 https://www.crefia.or.kr/portal/company/membership/membershipIntroduction.xx?coCodeSubId=4; 수집일 2026-09-18
