institution_id,display_name,category,aliases,note
loan_apro,아프로파이낸셜대부,대부,아프로파이낸셜대부|러시앤캐시|아프로파이낸셜,기존 config 유지(2023년 10월 대부업 등록 반납); https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18 조회(등록기관 금융감독원·영업중) 시 미등재
loan_leadcorp,리드코프,대부,리드코프|(주)리드코프,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0003(대부업)/2020-금감원-0003(대부중개업); 사업내용 금전대부, 채권추심/대부중개; 법인번호 110111-0219398; 대부금융협회 회원번호 A00005 (https://www.clfa.or.kr/member/list 2026-09-18); 대부업과 석유유통업 겸영 상장사"
loan_welcome,웰컴크레디라인대부,대부,웰컴크레디라인대부|웰컴크레디라인,"기존 config 유지; https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18 조회(등록기관 금융감독원·영업중) 시 미등재, https://www.clfa.or.kr/member/list 회원명단에도 없음 — 존속 여부 미확인"
loan_sanwa,산와대부,대부,산와대부|산와머니|산와대부(주),"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0002(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-2595580; 대부금융협회 회원번호 A00002 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_baro,바로크레디트대부,대부,바로크레디트대부|바로크레디트|(주)바로크레디트대부,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0006(대부업)/2016-금감원-0006(대부중개업); 사업내용 금전대부, 채권추심/대부중개; 법인번호 110111-2569460; 대부금융협회 회원번호 A00007 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0007,태강대부,대부,태강대부|(주)태강대부,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0007(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-0394009; 대부금융협회 회원번호 A00009 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0008,그린씨앤에프대부,대부,그린씨앤에프대부|(주)그린씨앤에프대부,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0008(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-1199846; 대부금융협회 회원번호 A00247 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0009,조이크레디트대부금융,대부,조이크레디트대부금융|(주)조이크레디트대부금융,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0009(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-3623306; 대부금융협회 회원번호 A00029 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0011,오케이홀딩스대부,대부,오케이홀딩스대부|오케이홀딩스대부 주식회사,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0011(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-5402873; 대부금융협회 회원번호 A00509 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0013,에이원대부캐피탈,대부,에이원대부캐피탈|(주)에이원대부캐피탈,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0013(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-2546137; 대부금융협회 회원번호 A00021 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0014,스타크레디트대부,대부,스타크레디트대부|(주)스타크레디트대부,"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0014(대부업)/2016-금감원-0014(대부중개업); 사업내용 금전대부, 채권추심/대부중개; 법인번호 110111-2611419; 대부금융협회 회원번호 A00015 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0016,앤알캐피탈대부,대부,앤알캐피탈대부|앤알캐피탈대부(주),"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0016(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-3333442; 대부금융협회 회원번호 A00030 (https://www.clfa.or.kr/member/list 2026-09-18)"
loan_fss0017,아프로에프앤아이대부,대부,아프로에프앤아이대부|아프로에프앤아이대부(주),"https://fines.fss.or.kr/fines/plis/moneyLenderSearch/MoneyLenderSearch.getMoneyLenderList.do 2026-09-18; 등록번호 2016-금감원-0017(대부업); 사업내용 금전대부, 채권추심; 법인번호 110111-2343343; 대부금융협회 회원번호 A00012 (https://www.clfa.or.kr/member/list 2026-09-18)"
